dataset,model,neighbours,weights,tasks_description,accuracy,precision,recall,f1,roc_auc,roc_auc_ovr
3913,knn,5,uniform,disbalanced_binary_tasks,0.8158200290275761,0.5543223443223444,0.4590909090909091,0.4837375674907644,0.7613419913419914,0.7613419913419914
3917,knn,5,uniform,disbalanced_binary_tasks,0.8070367862784924,0.3529512845343841,0.23285984848484848,0.2706779108869273,0.6326834589579493,0.6326834589579493
3918,knn,5,uniform,disbalanced_binary_tasks,0.9242833742833744,0.43499999999999994,0.19464285714285712,0.2595726495726495,0.7104588978982183,0.7104588978982183
7592,knn,5,uniform,disbalanced_binary_tasks,0.8308629519069642,0.8755387745229948,0.9065536177629168,0.8907663026489485,0.8554989985359264,0.8554989985359264
9952,knn,5,uniform,disbalanced_binary_tasks,0.8806469500924214,0.8191195511497036,0.7629050234853912,0.7896339880202594,0.9312337321266376,0.9312337321266376
9971,knn,5,uniform,disbalanced_binary_tasks,0.6482466393921683,0.37984809308338724,0.31250000000000006,0.33631223630225787,0.621357369167179,0.621357369167179
9977,knn,5,uniform,disbalanced_binary_tasks,0.9287374808075389,0.9523712623208939,0.9484599365491484,0.9500806793770786,0.9637512246812936,0.9637512246812936
9978,knn,5,uniform,disbalanced_binary_tasks,0.9147365472596558,0.38108793098154803,0.14375,0.19619707811469825,0.7374055951494523,0.7374055951494523
10101,knn,5,uniform,disbalanced_binary_tasks,0.6993693693693693,0.34517900681693786,0.2950980392156862,0.2445051574609355,0.5639949547070289,0.5639949547070289
6,knn,5,uniform,multiclass_tasks,0.9477499999999999,,,,,0.996040911723718
11,knn,5,uniform,multiclass_tasks,0.7295442908346135,,,,,0.7667464116758181
12,knn,5,uniform,multiclass_tasks,0.969,,,,,0.9930722222222222
14,knn,5,uniform,multiclass_tasks,0.7935000000000001,,,,,0.9600569444444446
16,knn,5,uniform,multiclass_tasks,0.9560000000000001,,,,,0.9934861111111111
18,knn,5,uniform,multiclass_tasks,0.7084999999999999,,,,,0.9412416666666669
22,knn,5,uniform,multiclass_tasks,0.8019999999999999,,,,,0.9656736111111112
23,knn,5,uniform,multiclass_tasks,0.49155635227063793,,,,,0.649985292995912
28,knn,5,uniform,multiclass_tasks,0.9733096085409251,,,,,0.996335042779332
32,knn,5,uniform,multiclass_tasks,0.9925399950368105,,,,,0.9985977822708542
45,knn,5,uniform,multiclass_tasks,0.747962382445141,,,,,0.8980599945036136
53,knn,5,uniform,multiclass_tasks,0.712829131652661,,,,,0.9009773883891434
2074,knn,5,uniform,multiclass_tasks,0.9090202177293936,,,,,0.98068612093846
